hex_id,Visits
8744ced8effffff,1
8744ced93ffffff,2
8744ced95ffffff,8
8744ced98ffffff,5
8744ced99ffffff,3
8744ced9affffff,5
8744ced9dffffff,6
8744ceda0ffffff,1
8744ceda1ffffff,1
8744ceda2ffffff,5
8744ceda3ffffff,2
8744ceda4ffffff,8
8744ceda5ffffff,5
8744ceda6ffffff,10
8744ceda8ffffff,4
8744cedaaffffff,3
8744cedabffffff,2
8744cedacffffff,1
8744cedadffffff,7
8744cedaeffffff,5
8744cedb0ffffff,2
8744cedb1ffffff,1
8744cedb2ffffff,2
8744cedb3ffffff,1
8744cedb4ffffff,2
8744cedb5ffffff,4
8744cedb6ffffff,3
8744dd926ffffff,1
8744dd928ffffff,2
8744dd929ffffff,1
8744dd965ffffff,2
